Codici,ID Prodotto,Nome Prodotto,Produttore,Mese,Anno,Mese - Anno,Q.tà venduta,Canale di vendita
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L--2020--10",2106,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L",Agrestis soc.Cooperativa Agricola,10,2020,ottobre 2020,10,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2019 1L--2020--10",2107,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2019 1L",Agrestis soc.Cooperativa Agricola,10,2020,ottobre 2020,10,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
"Olio EVO ""Zenia"" 750 ml BIO 2019--2020--10",2180,"Olio EVO ""Zenia"" 750 ml BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,5,
"Olio EVO ""L'olio di Licia"" BIO 3L 2019--2020--10",2115,"Olio EVO ""L'olio di Licia"" BIO 3L 2019",Azienda Agricola Licia Guccione,10,2020,ottobre 2020,1,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
"Olio EVO verdello BIO 0,5L 2019--2020--10",2109,"Olio EVO verdello BIO 0,5L 2019",Azienda Agricola Virzì,10,2020,ottobre 2020,1,
"Olio EVO Primo Dop Monti Iblei 0,75L 2019--2020--10",2112,"Olio EVO Primo Dop Monti Iblei 0,75L 2019",Frantoi Cutrera SRL,10,2020,ottobre 2020,3,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio extravergine di oliva DOP Polifemo 2019 0,5L--2020--10",2110,"Olio extravergine di oliva DOP Polifemo 2019 0,5L",Viragì sas,10,2020,ottobre 2020,2,
"Olio extravergine d'oliva SBEZI 2019 0,5L--2020--10",2111,"Olio extravergine d'oliva SBEZI 2019 0,5L",Viragì sas,10,2020,ottobre 2020,2,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
"Olio EVO Primo Dop Monti Iblei 0,75L 2019--2020--10",2112,"Olio EVO Primo Dop Monti Iblei 0,75L 2019",Frantoi Cutrera SRL,10,2020,ottobre 2020,3,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L--2020--10",2106,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L",Agrestis soc.Cooperativa Agricola,10,2020,ottobre 2020,10,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
"Olio EVO ""Zenia"" 750 ml BIO 2019--2020--10",2180,"Olio EVO ""Zenia"" 750 ml BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,5,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--10",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,29,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--10",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,1,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--10",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,4,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
Olio EVO Blend 5 L BIO 2020--2020--10,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,10,2020,ottobre 2020,2,
Olio EVO Blend 5 L BIO 2020--2020--11,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,11,2020,novembre 2020,16,
Olio EVO Blend 5 L BIO 2020--2020--11,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,11,2020,novembre 2020,16,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--11",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,34,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--11",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,71,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--11",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,23,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--11",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,10,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--11",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,74,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2020--11",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,22,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--11",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,34,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--11",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,11,2020,novembre 2020,1,
"Olio EVO ""Zenia"" 750 ml BIO 2019--2020--11",2180,"Olio EVO ""Zenia"" 750 ml BIO 2019",Azienda agricola f.lli Mangano,11,2020,novembre 2020,1,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--11",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,71,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--11",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,23,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--11",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,10,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--11",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,74,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--11",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,52,
Olio EVO Blend BIO 1L 2019--2020--11,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,11,2020,novembre 2020,3,
Olio EVO Blend BIO 1L 2020--2020--11,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,72,
"Olio EVO verdello BIO 0,5L 2020--2020--11",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,11,2020,novembre 2020,20,
Olio EVO Blend BIO 3L 2020--2020--11,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,5,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2020--11",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,11,2020,novembre 2020,25,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--11,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,11,2020,novembre 2020,7,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--11",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,23,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--11",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,52,
Olio EVO Blend 5 L BIO 2020--2020--11,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,11,2020,novembre 2020,16,
"Olio EVO verdello BIO 0,5L 2020--2020--11",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,11,2020,novembre 2020,20,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2020--11",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,22,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--11",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,34,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--11",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,71,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--11",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,23,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--11",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,10,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--11",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,74,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--11",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,52,
Olio EVO Blend BIO 1L 2019--2020--11,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,11,2020,novembre 2020,3,
Olio EVO Blend BIO 1L 2020--2020--11,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,72,
"Olio EVO verdello BIO 0,5L 2020--2020--11",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,11,2020,novembre 2020,20,
Olio EVO Blend BIO 3L 2020--2020--11,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,5,
Olio Virzì EVO Blend BIO 5L 2020--2020--11,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,4,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2020--11",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,11,2020,novembre 2020,25,
Olio EVO Blend 5 L BIO 2020--2020--11,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,11,2020,novembre 2020,16,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--11",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,52,
Olio EVO Blend 5 L BIO 2020--2020--11,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,11,2020,novembre 2020,16,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2020--11",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,22,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--11",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,34,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--11",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,71,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2020--11",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,3,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--11",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,10,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--11",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,74,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--11",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,52,
Olio EVO Blend BIO 1L 2020--2020--11,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,72,
"Olio EVO verdello BIO 0,5L 2020--2020--11",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,11,2020,novembre 2020,20,
Olio Virzì EVO Blend BIO 5L 2020--2020--11,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,11,2020,novembre 2020,4,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2020--11",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,11,2020,novembre 2020,25,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--11",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,34,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--11",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,71,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--11",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,74,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--11",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,74,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--11",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,11,2020,novembre 2020,34,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--11",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,11,2020,novembre 2020,23,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--11",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,11,2020,novembre 2020,52,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2020--12",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,41,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--12",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,13,
"Olio EVO Gran Cru moresca 0,5L 2020--2020--12",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,12,2020,dicembre 2020,13,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2020--12",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,12,2020,dicembre 2020,34,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2020--12",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,12,2020,dicembre 2020,32,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--12",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,12,2020,dicembre 2020,48,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--12",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,52,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2020--12",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,41,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--12",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,13,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--12",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,5,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--12",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,12,2020,dicembre 2020,63,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--12",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,12,2020,dicembre 2020,29,
Olio EVO Blend BIO 1L 2020--2020--12,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,12,2020,dicembre 2020,35,
"Olio EVO verdello BIO 0,5L 2020--2020--12",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,12,2020,dicembre 2020,16,
Olio EVO Blend BIO 3L 2020--2020--12,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,12,2020,dicembre 2020,9,
Olio Virzì EVO Blend BIO 5L 2020--2020--12,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,12,2020,dicembre 2020,4,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2020--12",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,12,2020,dicembre 2020,25,
"Olio EVO Gran Cru moresca 0,5L 2020--2020--12",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,12,2020,dicembre 2020,13,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2020--12",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,12,2020,dicembre 2020,34,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2020--12",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,41,
Olio EVO Greco 2020 1 L BIO--2020--12,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,12,2020,dicembre 2020,24,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--12",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,12,2020,dicembre 2020,63,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--12",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,12,2020,dicembre 2020,63,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2020--12",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,12,2020,dicembre 2020,29,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--12",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,12,2020,dicembre 2020,48,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2020--12",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,41,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--12",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,13,
Olio EVO Greco 2020 1 L BIO--2020--12,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,12,2020,dicembre 2020,24,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2020--12",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,12,2020,dicembre 2020,63,
Olio EVO Blend BIO 1L 2020--2020--12,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,12,2020,dicembre 2020,35,
"Olio EVO verdello BIO 0,5L 2020--2020--12",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,12,2020,dicembre 2020,16,
Olio EVO Blend BIO 3L 2020--2020--12,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,12,2020,dicembre 2020,9,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2020--12",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,12,2020,dicembre 2020,32,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2020--12",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,12,2020,dicembre 2020,48,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--12",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,12,2020,dicembre 2020,52,
