Codici,ID Prodotto,Nome Prodotto,Produttore,Mese,Anno,Mese - Anno,Q.tà venduta,Canale di vendita
"Olio EVO Greco 0,5 ML BIO 2020--2021--1",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,1,2021,gennaio 2021,23,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--1",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,1,2021,gennaio 2021,11,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--1",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,1,2021,gennaio 2021,38,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--1",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,1,2021,gennaio 2021,38,
Olio EVO Blend BIO 1L 2020--2021--1,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,1,2021,gennaio 2021,32,
"Olio EVO verdello BIO 0,5L 2020--2021--1",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,1,2021,gennaio 2021,16,
Olio EVO Blend BIO 3L 2020--2021--1,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,1,2021,gennaio 2021,1,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--1",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,1,2021,gennaio 2021,24,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--1",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,1,2021,gennaio 2021,16,
Olio Virzì EVO Blend BIO 5L 2020--2021--2,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,3,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--2",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,4,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--2",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,43,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--2",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--2",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,13,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--2",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,38,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--2",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,9,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--2",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,4,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--2",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,5,
"Olio EVO Greco 0,5 ML BIO 2020--2021--2",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,13,
Olio EVO Greco 3 L BIO 2020--2021--2,3062,Olio EVO Greco 3 L BIO 2020,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,6,
Olio EVO Greco 2020 1 L BIO--2021--2,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,30,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--2",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,43,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
Olio EVO Blend BIO 1L 2020--2021--2,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,31,
Olio EVO Blend BIO 1L 2020--2021--2,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,31,
"Olio EVO verdello BIO 0,5L 2020--2021--2",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,2,2021,febbraio 2021,11,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--2",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--2",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--2",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,2,2021,febbraio 2021,19,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--2",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,5,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--2",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--2",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,13,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--2",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,38,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--2",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,9,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--2",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,5,
"Olio EVO Greco 0,5 ML BIO 2020--2021--2",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,13,
Olio EVO Greco 2020 1 L BIO--2021--2,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,30,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--2",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,43,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
Olio EVO Blend BIO 1L 2020--2021--2,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,31,
"Olio EVO verdello BIO 0,5L 2020--2021--2",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,2,2021,febbraio 2021,11,
Olio Virzì EVO Blend BIO 5L 2020--2021--2,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,3,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--2",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--2",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--2",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--2",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,2,2021,febbraio 2021,19,
Olio EVO Blend 5 L BIO 2020--2021--2,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,2,2021,febbraio 2021,9,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--2",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,21,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--2",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--2",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,13,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--2",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,38,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--2",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,9,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--2",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,4,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--2",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,5,
"Olio EVO Greco 0,5 ML BIO 2020--2021--2",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,13,
Olio EVO Greco 3 L BIO 2020--2021--2,3062,Olio EVO Greco 3 L BIO 2020,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,6,
Olio EVO Greco 3 L BIO 2020--2021--2,3062,Olio EVO Greco 3 L BIO 2020,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,6,
Olio EVO Greco 2020 1 L BIO--2021--2,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,30,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--2",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,43,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
Olio EVO Blend BIO 1L 2020--2021--2,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,31,
"Olio EVO verdello BIO 0,5L 2020--2021--2",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,2,2021,febbraio 2021,11,
Olio EVO Blend BIO 3L 2020--2021--2,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,2,
Olio Virzì EVO Blend BIO 5L 2020--2021--2,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,3,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--2",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
Olio EVO Blend 5 L BIO 2020--2021--2,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,2,2021,febbraio 2021,9,
Olio EVO Blend 5 L BIO 2020--2021--2,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,2,2021,febbraio 2021,9,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--2",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,38,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--2",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,43,
"Olio EVO verdello BIO 0,5L 2020--2021--2",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,2,2021,febbraio 2021,11,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--2",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,2,2021,febbraio 2021,19,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--2",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--2",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,2,2021,febbraio 2021,13,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--2",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,38,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--2",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,2,2021,febbraio 2021,9,
"Olio EVO Greco 0,5 ML BIO 2020--2021--2",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,13,
"Olio EVO Greco 0,5 ML BIO 2020--2021--2",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,13,
Olio EVO Greco 2020 1 L BIO--2021--2,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,2,2021,febbraio 2021,30,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--2",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,43,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--2",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,2,2021,febbraio 2021,21,
Olio EVO Blend BIO 1L 2020--2021--2,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,2,2021,febbraio 2021,31,
"Olio EVO verdello BIO 0,5L 2020--2021--2",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,2,2021,febbraio 2021,11,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--2",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,2,2021,febbraio 2021,10,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--2",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,2,2021,febbraio 2021,19,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--3",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,24,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--3",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,67,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--3",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,7,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--3",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,3,2021,marzo 2021,11,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--3",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,3,2021,marzo 2021,19,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--3",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,21,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--3",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--3",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,24,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--3",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,67,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--3",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,12,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--3",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,7,
"Olio EVO Greco 0,5 ML BIO 2020--2021--3",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,19,
Olio EVO Greco 2020 1 L BIO--2021--3,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,26,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
Olio EVO Blend BIO 1L 2020--2021--3,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,3,2021,marzo 2021,20,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--3",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,3,2021,marzo 2021,9,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--3",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,3,2021,marzo 2021,19,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio EVO Greco 0,5 ML BIO 2020--2021--3",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,19,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--3",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,3,2021,marzo 2021,19,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--3",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--3",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,24,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--3",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,67,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--3",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,12,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--3",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,7,
"Olio EVO Greco 0,5 ML BIO 2020--2021--3",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,19,
Olio EVO Greco 2020 1 L BIO--2021--3,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,26,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
